name,E_Pa,Sy_Pa
Zirconia (Y-TZP) Var7,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var7,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var7,305000000000.0,800000000.0
Glass (Soda-lime) Var7,70000000000.0,100000000.0
Glass (Borosilicate) Var7,64000000000.0,120000000.0
Fused Silica Var7,72000000000.0,50000000.0
Concrete (Normal Strength) Var7,30000000000.0,30000000.0
Concrete (High Strength) Var7,40000000000.0,60000000.0
Mortar Var7,15000000000.0,15000000.0
Wood (Pine) Var7,8000000000.0,40000000.0
Wood (Douglas Fir) Var7,12000000000.0,50000000.0
Wood (Oak) Var7,11000000000.0,60000000.0
Wood (Maple) Var7,11000000000.0,60000000.0
Wood (Birch) Var7,10500000000.0,55000000.0
Wood (Teak) Var7,12000000000.0,60000000.0
Bamboo Var7,11000000000.0,160000000.0
